"A"	"B"	"A0"	"D"	"E"	"F"	"G"	"H"	"I"	"C"	"AA"	"AB"	"AC"
"C15orf33"	10.1111111111111	11.1428571428571	0	1.14285714285714	4.7	0	0	21.4615384615385	0	0	0	0	9
"ARHGEF1"	0	0	0	0	0	1.5	0	0	0	0	0.8	0	0
"BTAF1"	7.66666666666667	1.42857142857143	0	41.4285714285714	0	17.5	1.36363636363636	0.153846153846154	20.875	32.4285714285714	6.2	0	0
"ADAD1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C12orf23"	22.7777777777778	21.2142857142857	81.1428571428571	26.6428571428571	8.6	0.875	0	13.6923076923077	25.8125	94.3571428571429	33.4	26.5714285714286	0
"APOA1BP"	39.1111111111111	82.7142857142857	0	49.7142857142857	63.3	0	51.9090909090909	15.4615384615385	101.375	0.0714285714285714	8.2	100.142857142857	139.666666666667
"ACSL3"	1.22222222222222	54.2857142857143	0	20.2142857142857	12.6	0	3.09090909090909	0	17.5625	95.4285714285714	0	8.71428571428571	0
"ARHGAP18"	18.8888888888889	0	0	36.6428571428571	0	0	114.454545454545	52.1538461538462	44.1875	0	0	0	42
"C12orf44"	0	15.5714285714286	0	22	0	0	55.0909090909091	16.6153846153846	0	0	52.4	0.285714285714286	0
"ANGEL1"	0	0	127	29.2142857142857	0	10.875	1.27272727272727	68.3076923076923	7.3125	0	0	0	5.66666666666667
"AMPD3"	0	0	0	0	0	0	0	0	0	0	82.2	0	0.666666666666667
"BEX4"	114	77.2142857142857	109	48.5714285714286	0	0	211.090909090909	67.6923076923077	94.1875	73.2142857142857	30.8	45	437.333333333333
"C12orf4"	0	9.57142857142857	0	0.714285714285714	0	0	23	0	13.125	0	2.2	0	0
"B3GNT9"	25.4444444444444	0	0	0	14.5	0	0	0	0	0	0	0	0
"BEX2"	93.2222222222222	62.6428571428571	0	40.2142857142857	0	0	0	25.0769230769231	29.75	0	38.2	0	65.6666666666667
"ATG4A"	0	0	0	30.4285714285714	0	0	50.8181818181818	0	0	0	22.2	0	0
"AP3M1"	0	34.6428571428571	0	17.0714285714286	20.4	0	0	0	41.375	0	154.6	41	0
"C16orf78"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATL1"	16.5555555555556	0	0	0	0	0	83.6363636363636	0	0	0	0	0	0
"ALAD"	0	19.2142857142857	0	6.42857142857143	0	0	0	0.384615384615385	4.1875	0	0	0	0
"ABCC8"	86.7777777777778	24.5714285714286	0	14.5	0	0	0	5.38461538461539	0	0	110.2	0	1.66666666666667
"AIM1"	6.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0
"ARMCX5-GPRASP2"	6.88888888888889	0	0	6.21428571428571	0	0	0	6.07692307692308	0.625	0	0	0	30.3333333333333
"ATP9A"	16.1111111111111	80.6428571428571	0	1	0	12.375	31.1818181818182	6.69230769230769	1.5	20.4285714285714	57.4	0	40
