0,1,2,3
0,4,2,4
0,8,4,3
1,4,8,4
0,4,8,1
0,4,8,4
1,6,8,5
1,9,5,10
0,10,4,4
1,6,9,5
1,8,4,3
0,7,6,8
2,5,3,6
0,4,4,8
1,4,3,10
2,9,4,3
0,6,8,7
0,7,5,6
0,4,3,11
1,4,4,8
2,10,8,3
2,8,4,5
0,4,1,8
1,4,4,8
1,10,2,4
2,9,4,4
2,8,4,6
0,3,8,4
0,5,9,6
2,9,8,4
1,7,10,8
0,4,2,8
1,5,6,9
0,4,10,2
0,10,8,9
0,4,3,4
0,8,4,4
0,8,4,3
0,3,8,2
0,4,9,4
2,10,4,4
1,4,3,10
2,8,3,4
0,7,7,6
2,11,4,4
0,4,4,8
0,10,7,8
0,8,3,4
0,1,4,8
1,8,4,4
0,9,4,2
0,4,4,9
2,6,5,8
0,9,3,4
0,3,4,10
2,8,3,4
0,4,1,8
0,2,9,4
0,8,7,6
0,10,7,6
0,8,10,9
1,5,6,7
0,6,7,8
1,6,5,9
2,9,3,4
0,4,1,8
0,4,11,8
0,4,9,1
2,8,3,4
0,4,4,10
