	fopt	sample	xopt
0	3177.96492217	D.G.AB	{'A': 0.0, 'AA': 0.0, 'C': 0.0771714088191026, 'B': 0.039140540775790454, 'E': 0.0, 'D': 0.4742283237515762, 'G': 1.0, 'F': 0.0, 'I': 0.21548111861125216, 'H': 0.18569254897786702, 'AC': 0.0, 'A0': 0.01589094721179258, 'AB': 0.9013347598060236}
0	3302.18870791	B.D.E	{'A': 0.0, 'AA': 0.0, 'C': 0.053346015299301136, 'B': 0.9748819765064061, 'E': 0.9393710039285719, 'D': 0.39257304271366616, 'G': 0.0, 'F': 0.03360383389234621, 'I': 0.13351596395703721, 'H': 0.23729916549781188, 'AC': 0.03833824622278008, 'A0': 0.025381780696344353, 'AB': 0.0}
0	4217.91983995	F.H.AC	{'A': 0.0, 'AA': 0.17047695970647878, 'C': 0.0, 'B': 0.0, 'E': 0.0, 'D': 0.22668420345025522, 'G': 0.0, 'F': 0.814794318449286, 'I': 0.18642662145974695, 'H': 0.8907923636472714, 'AC': 1.0, 'A0': 0.0, 'AB': 0.14985591534416376}
0	9290.54305922	E.AA	{'A': 0.4991191281660307, 'AA': 1.0, 'C': 0.004304979694019606, 'B': 0.0, 'E': 1.0, 'D': 0.21687960538772946, 'G': 0.0, 'F': 0.01898642216027752, 'I': 0.11592233182761805, 'H': 0.04452845781408293, 'AC': 0.0, 'A0': 0.0, 'AB': 0.0}
0	56.1173925595	A.B.AA	{'A': 0.9899944624745043, 'AA': 0.9961810049416268, 'C': 0.0019558008801416277, 'B': 1.0, 'E': 0.0, 'D': 0.0, 'G': 0.0, 'F': 0.0, 'I': 0.0, 'H': 0.0, 'AC': 0.0, 'A0': 0.0, 'AB': 0.0}
0	2869.24159208	B.C.AA	{'A': 0.1321854474127724, 'AA': 1.0, 'C': 0.8380423744821123, 'B': 1.0, 'E': 0.03975865592632578, 'D': 0.00871034493015422, 'G': 0.020192721984014464, 'F': 0.0558762132022333, 'I': 0.17215758118405441, 'H': 0.0, 'AC': 0.023696688737183655, 'A0': 0.0, 'AB': 0.01015119512558079}
0	5272.42280767	F.AB	{'A': 0.054932188472567145, 'AA': 0.019092588735028535, 'C': 0.33400731094707314, 'B': 0.0, 'E': 0.016302583288137756, 'D': 0.0014167974383713748, 'G': 0.023785255746818137, 'F': 1.0, 'I': 0.005749849263482052, 'H': 0.16237368271469965, 'AC': 0.0, 'A0': 0.0, 'AB': 0.9851663729846475}
0	4942.71540538	E.F.AB	{'A': 0.08406806663916912, 'AA': 0.02351494199694519, 'C': 0.3386682211290982, 'B': 0.09288513357794928, 'E': 0.9698232859241227, 'D': 0.10052291985334827, 'G': 0.08564036038225162, 'F': 1.0, 'I': 0.011350705985209694, 'H': 0.011245875587481734, 'AC': 0.01025473810888807, 'A0': 0.01733027892860221, 'AB': 0.948434804914995}
0	3358.86281045	E.H.AA	{'A': 0.04622563063706711, 'AA': 0.9995222062565443, 'C': 0.0, 'B': 0.05824012896680914, 'E': 1.0, 'D': 0.4931172181300143, 'G': 0.005256791695853599, 'F': 0.0, 'I': 0.0, 'H': 0.49554905874006433, 'AC': 0.0, 'A0': 0.0, 'AB': 0.0}
0	4367.73992415	F.G.H	{'A': 0.12100639397120488, 'AA': 0.0, 'C': 0.3723477756261127, 'B': 0.0, 'E': 0.004553292746306307, 'D': 0.0, 'G': 1.0, 'F': 0.9647943677304939, 'I': 0.3761825193430407, 'H': 0.6547103173666586, 'AC': 0.0, 'A0': 0.0, 'AB': 0.0}
