	fopt	sample	xopt
0	62964.3275871	A.H	{'AA': 0.0, 'A0': 0.0, 'AC': 0.0, 'AB': 0.00859578736311381, 'A': 1.0, 'C': 0.0023785603494738614, 'B': 0.10034468275249417, 'E': 0.0, 'D': 0.12221788415547728, 'G': 0.0, 'F': 0.0, 'I': 0.7064718294351437, 'H': 1.0}
0	36661.1076749	D.E.AB	{'AA': 0.0, 'A0': 0.13304391443242136, 'AC': 0.021121284867429837, 'AB': 1.0, 'A': 0.0, 'C': 0.017673779785123384, 'B': 0.10019347096784546, 'E': 0.8579869865332308, 'D': 0.725714044490663, 'G': 0.022912289053875514, 'F': 0.0, 'I': 0.16219592984089748, 'H': 0.021354795168018435}
0	19433.8281497	F.AA.AC	{'AA': 1.0, 'A0': 0.007821984766287376, 'AC': 1.0, 'AB': 0.0, 'A': 0.0, 'C': 0.08574047124848616, 'B': 0.0, 'E': 0.0, 'D': 0.005356637981448599, 'G': 0.0, 'F': 1.0, 'I': 0.015580805863665628, 'H': 0.09824917578983919}
0	67811.1156721	I.AC	{'AA': 0.0015345438937206385, 'A0': 0.0, 'AC': 1.0, 'AB': 0.0, 'A': 0.528607264430436, 'C': 0.0, 'B': 0.009979140464803578, 'E': 0.0, 'D': 0.18868216477738536, 'G': 0.006407437742558367, 'F': 0.0, 'I': 0.8724481089140046, 'H': 0.0}
0	46900.9239676	A.AB	{'AA': 0.0, 'A0': 0.009269554251288701, 'AC': 0.10358185815055565, 'AB': 1.0, 'A': 0.6785254435342573, 'C': 0.0, 'B': 0.03749799932953185, 'E': 0.06971731360415816, 'D': 0.0, 'G': 0.03559601486278256, 'F': 0.1384447887420403, 'I': 0.0, 'H': 0.0}
0	17262.0326383	B.C.E	{'AA': 0.09930758684922796, 'A0': 0.9962785551346809, 'AC': 0.011263771129823082, 'AB': 0.0, 'A': 0.0029996339129592826, 'C': 0.07168767307081005, 'B': 0.913045518969257, 'E': 1.0, 'D': 0.0, 'G': 0.0003128649627809914, 'F': 0.0, 'I': 0.0, 'H': 0.0}
0	57961.1811269	H.A0.AB	{'AA': 0.0, 'A0': 0.0764501060825796, 'AC': 0.005926834400695113, 'AB': 1.0, 'A': 0.0412149920674454, 'C': 0.9946818991985759, 'B': 0.007613003764263256, 'E': 0.0, 'D': 0.4150114044482837, 'G': 0.07394736950157753, 'F': 0.0, 'I': 0.5177611319808308, 'H': 0.6310787364684763}
0	47572.2143979	A.E.A0	{'AA': 0.0, 'A0': 0.13721453619465848, 'AC': 0.0, 'AB': 0.004296370179160497, 'A': 0.649912160300889, 'C': 0.5742711434014476, 'B': 0.17186284312292965, 'E': 0.9955042391324059, 'D': 0.0, 'G': 0.0, 'F': 0.2826949673869781, 'I': 0.13338493634313017, 'H': 0.0}
0	34881.2678845	B.E.I	{'AA': 0.0, 'A0': 0.0, 'AC': 0.016646622509229853, 'AB': 0.003455163436545956, 'A': 0.0, 'C': 0.2174075412824515, 'B': 0.9882680897414117, 'E': 0.7942079650079449, 'D': 0.0, 'G': 0.01346462359322969, 'F': 0.0, 'I': 0.6544231749377993, 'H': 0.1454707617344902}
0	40534.6141458	F.H.AA	{'AA': 1.0, 'A0': 0.0, 'AC': 0.034341592163760454, 'AB': 0.0, 'A': 0.3629008554245897, 'C': 0.12536966132315247, 'B': 0.0, 'E': 0.0, 'D': 0.0, 'G': 0.0, 'F': 0.829654007505134, 'I': 0.05038297832299153, 'H': 0.7559132106289661}
