fourSeven	sevenNine	fourNine	fourSevenNine
GCG	0.0714285714285714	0.03125	0.102678571428571	0.0684523809523809
DLK1	4629.32142857143	1111.46875	5740.79017857143	3827.19345238095
CLPS	5731.54545454545	46.3579545454545	5720.8125	3832.9053030303
CPA2	4642.80194805195	24.9403409090909	4617.92410714286	3095.22213203463
ACTB	1606.09415584416	1619.30397727273	955.852678571429	1393.75027056277
INS	269.678571428571	11.1875	280.866071428571	187.244047619048
CELA3A	3571.79220779221	57.2073863636364	3548.27232142857	2392.42397186147
SPINK1	3041.4025974026	583.389204545455	3582.70089285714	2402.49756493506
ACTA2	0	0	0	0
CPA1	1770.79545454545	21.2954545454545	1762	1184.69696969697
COL3A1	19.5454545454545	27.1392045454545	7.59375	18.092803030303
GP2	886.75	0	886.75	591.166666666667
COL1A2	33.5454545454545	0.107954545454545	33.5625	22.405303030303
MALAT1	1809.91558441558	2527.61647727273	2166.98660714286	2168.17288961039
ACTG1	1440.67207792208	1632.01136363636	1066.41071428571	1379.69805194805
A2M	650.590909090909	651.809659090909	1.21875	434.539772727273
HBG2	0.0454545454545455	0.0767045454545455	0.03125	0.0511363636363636
GHRL	1.5	0.125	1.625	1.08333333333333
PRSS1	988.097402597403	22.8607954545455	968.049107142857	659.669101731602
SPARC	186.607142857143	193.6875	7.29464285714286	129.196428571429
CCL21	0	0	0	0
EEF1A1	2122.30844155844	2004.17897727273	2082.94196428571	2069.80979437229
COL1A1	2.54545454545455	0.545454545454545	3	2.03030303030303
TUBA1A	140.474025974026	149.201704545455	10.5848214285714	100.086850649351
APLNR	80.0909090909091	80.0909090909091	0	53.3939393939394
B2M	1511.72077922078	1464.70738636364	191.700892857143	1056.04301948052
GNAS	473.886363636364	401.511363636364	261.125	378.840909090909
TTR	94.2857142857143	50.03125	144.316964285714	96.2113095238095
CELA3B	1368.68181818182	14.6818181818182	1361	914.787878787879
H3F3B	1577.51298701299	1469.53977272727	2055.59821428571	1700.88365800866
CTRC	763.607142857143	11.15625	773.763392857143	516.175595238095
ANXA2	575.064935064935	794.886363636364	345.678571428571	571.876623376623
TMSB4X	1187.47402597403	1491.01420454545	523.397321428571	1067.29518398268
STMN1	647.863636363636	800.051136363636	386.1875	611.367424242424
CLU	786.035714285714	523.65625	1309.69196428571	873.127976190476
FTH1	1621.53571428571	1124.3125	1909.84821428571	1551.89880952381
GATM	848.75	235.21875	1083.96875	722.645833333333
CALM2	584.00974025974	738.576704545455	779.495535714286	700.693993506493
