a	b	c	d	e	f	g	h	i	j
1	2.79	2.04	1.76	8.1	2.04	8.89	32.11	5.23	2.21	5.71
2	3.88	8.83	17.85	1.03	10.26	25.94	4.25	2.02	1.11	2.92
3	8.39	7.6	3.72	2.83	23.27	2.41	1.59	14.35	1.89	4.46
4	21.12	1.78	3.02	2.62	2.57	4.21	1.19	8.62	2.11	10
5	1.91	26.56	7	16.73	1.35	15.81	2.24	2.9	4.71	1.4
6	21.55	26.56	7.65	2.18	11.59	28.05	15.98	12.18	1.37	2.48
7	29.78	1.39	1.91	12.05	6.03	27.4	3.22	2.74	3.62	2.67
8	9.66	17.26	2.87	24.43	16.57	13.48	27.33	26.88	3.97	2.3
9	7.1	5.11	8.14	26.48	26.99	5.39	1.87	14.25	10.28	8.77
10	1.17	6.14	9.22	1.29	1.25	1.27	4.95	8.72	29.34	4.59
11	1.73	6.29	6.02	13.86	2.62	8.57	1.86	4.69	1.54	8.75
12	1.57	2.44	5.73	2.6	5.84	23.98	2.07	1.57	1.15	7.2
13	13.35	14.42	5.98	1.38	3.29	1.4	13.86	4.47	20.86	1.6
14	4.06	1.99	6.52	26.95	6.88	3.26	1.46	7.02	2.79	7.67
15	14.22	4.24	19.29	4.47	2.18	14.35	5.13	1.67	5.73	2.97
16	5.27	18.48	19.77	5.06	2.33	2.49	1.24	24.09	5.37	4.19
17	12.36	31.2	1.32	28.61	3.76	6.4	7.37	1.19	4.09	1.25
18	33.48	2.14	9.93	7.88	22.39	10.04	1.28	2.37	28.24	2.42
19	3.2	4.94	23.08	26.17	6.49	1.64	29.7	2.77	3.48	4.22
20	16.28	1.12	2.44	14.73	18.34	11.24	2.79	5.97	5.05	18.69
21	24.94	9.6	1.82	12.16	21.04	27.39	9.24	1.8	22.34	20.99
22	2.36	4.08	0.95	30.68	12.42	17.77	3.2	3.95	1.06	8.48
23	10.89	20.17	1.82	5.51	2.35	1.61	31.51	8.77	3.02	13.89
24	1.28	1.68	1.31	4.86	2.56	2.44	23.72	2.33	1.36	3.37
25	2.72	3.66	2.08	10.19	1.68	12.38	29.32	9.88	6.11	4.34
26	3.44	5.45	16.35	17.49	4.91	3.06	1.36	30.68	23.32	10.95
27	0.82	1.6	8.99	5.37	4.27	3.33	9.22	1.55	3.66	18.63
28	3.84	3.34	24.49	18.79	27.69	24.15	5.52	7.89	3.89	2.5
29	26.72	25.55	7.39	5.18	1.61	2.33	29.25	6.34	26.73	13.92
30	3.08	1.72	13.53	6.61	28.99	4.22	3.15	17.3	19.19	3.17
31	4.65	0.99	3.98	6.72	4.46	6.45	9.59	2.03	2.24	6.82
32	8.2	1.77	3.15	2.06	1.01	1.52	2.17	9.34	28.27	1.44
33	5.91	17.29	2.02	21.01	2.54	28.11	1.93	25.16	4.78	1.79
34	2.63	21.41	4.84	9.22	1.14	14.04	1.85	1.81	21.76	22.6
35	15.63	6	2.47	5.35	1.17	1.63	3.46	3.74	0.96	4.62
36	10.98	8.65	3.48	27.7	5.22	24.48	18.44	3.36	20.73	13.64
37	18	19.92	25.07	4.88	7.67	3.35	5.89	24.83	15.28	18.56
38	1.45	2.84	2	9.04	8.43	1.18	15.31	26.13	27.26	26.17
39	12.22	9.88	7.1	4.15	3.56	30.43	17.69	3.85	2.02	10.63
40	4.32	1.4	2.23	0.93	4.02	15.32	4.24	13.29	14.01	6.19
41	16.16	33.14	2.38	25.16	16.97	11.44	15.88	22.78	27.96	2.64
42	8.94	3.08	14.74	2.32	1.99	12.3	3.89	3.06	12.34	2.14
43	13.68	1.47	1.72	7.34	19.21	1.28	13.98	5.25	7.55	1.08
44	8.84	1.62	8.08	1.9	6.46	26.39	4.61	19.84	2.1	12.41
45	5.65	29.1	4.25	23.7	23.8	30.89	23.61	3.08	3.75	2.33
46	17.99	16.34	2.27	1.41	6.37	18.83	3.2	2.29	2.19	1.79
47	1.15	33.25	0.99	22.36	13.8	1.52	1.41	6.05	17.61	1.03
48	5.39	3.1	1.32	24.78	1.26	4.41	16.62	1.78	10	5.2
49	13.85	5.6	2.8	12.26	13.8	7.45	22.19	26.4	2.2	1.3
50	11.51	15.38	16.6	7.13	9.35	28.47	28.97	1.55	26.95	16.47
51	5.19	1.08	2.16	3.67	3.67	1.71	7.09	1.84	31.07	3.49
52	24.04	1.02	2.01	12.41	7.62	2.98	12.43	1.23	6.39	27.53
53	4.65	10.56	20.57	24.16	23	5.34	15.11	1.68	7.06	2.54
54	2.22	26.7	29.61	15.99	29.47	17.38	9.44	2.94	23.25	5.22
55	1.41	2	19.6	15.93	26.46	30.1	12.57	29.25	2.5	2.11
56	1.19	15.14	23.92	4.03	4.06	22.49	3.83	2.69	22.67	7.22
57	3.23	14.96	5.83	2.13	2.21	23.92	1.7	12.56	10.26	4.56
58	6.17	31.8	2.05	1.79	2.42	4.96	1.66	3.64	13.13	5.25
59	10.53	8.44	1.56	22.55	2.06	2.63	3.67	1.13	8.83	3.96
60	3.95	11.36	2.72	12.87	1.47	2.12	2.57	20.22	1.73	5.97
61	22.75	14.33	17.87	7.22	9.37	2.61	2.09	25.56	1.72	1.01
62	2.76	23.05	1.09	1.11	1.76	24.15	5.19	30.92	2.84	1.28
63	4.15	8.11	14.76	17.83	21.11	10.68	14.29	16.43	3.73	4.59
64	3.5	2.43	1.39	23.87	32.02	8.24	10.46	9.81	1.14	3.4
65	7.75	18.49	13.5	2.01	30.07	1.49	6.98	1.2	20.48	17.13
66	2.82	3.92	2.75	10.02	21.88	7.98	9.54	1.42	2.34	13.83
67	5.77	3.79	14.24	1.07	23.64	1.43	5.27	2.14	7.4	7.3
68	15.31	4.88	6.76	6.34	1.73	30.83	5.45	1.38	3.64	4.66
69	1.43	2.39	3.21	17.2	25.68	21.12	3.19	22.25	5.94	1.71
70	18.32	1.42	1.21	29.83	17.62	1.31	4.49	3.02	14.77	2.04
71	3.99	2.31	14.57	3.15	17.81	4.38	2.86	10.3	1.58	1.27
72	18.2	2.91	14.13	8.86	12.26	6.36	7.93	5.5	1.79	6.45
73	3.89	1.15	25.94	3.77	1.84	12.86	19.22	16.65	9.66	9.51
74	3.24	1.81	27.45	3.5	17.61	3.87	8.88	9.97	18.3	5.95
75	6.09	1.81	6.54	17.37	0.93	26.02	1.43	2.05	2.14	1.21
76	20.07	13.2	6.61	10.21	27.52	1.23	6.83	8.47	1.59	6.67
77	18.92	2.81	1.8	2.9	1.14	4.34	5.15	5.18	9.3	3.88
78	3.96	19.87	1.64	4.53	11.5	26.03	4.32	24.83	31.48	27.44
79	16.8	3.99	15.87	2.29	5.07	1.23	8.87	11.37	6.41	2.48
80	27.05	7.02	13.3	1.47	3.09	2.75	24.53	20.22	3.69	1.91
81	5.19	3.54	14.68	23.94	28.32	2	20.87	8.57	2.17	21.23
82	12.05	11	9.43	11.33	17.11	1.3	19.99	10.47	4.34	4.86
83	4.11	0.98	3.82	7.23	1.96	3.38	2.39	2.49	1.15	2.13
84	3.23	3.92	1.07	25.05	1.38	14.61	13.91	16.66	7.4	8.96
85	14.7	2.12	27.21	23.35	4.74	3.1	3.39	8.16	2.2	2.24
86	2.14	16.48	19.71	1.17	1.18	6.21	1.12	2.62	4.57	0.88
87	11.89	29.14	2.17	1.19	25.97	4.38	1.15	4.41	9.4	15.26
88	1.49	3.05	6.16	30.82	14.76	7.04	13.46	2.71	1.41	2.57
89	2.27	12.05	9.66	1.91	2.81	7.52	3.45	12.33	29.05	2.21
90	1.6	2.7	23.37	22.64	8.44	12.29	4.06	2.8	21.15	1.83
91	2.37	25.56	1.18	1.79	12.25	2.21	3.33	1.05	4.47	5.29
92	1.24	4.37	2.58	1.87	3.06	1.56	1.13	11.99	2.2	11.72
93	9.86	3.58	4.85	6.48	1.9	3.89	22.83	2.47	1.71	8.14
94	19.44	7.19	16.11	2.7	4.26	4.32	1.7	7.65	25.87	5.94
95	14.77	4.67	20.82	3.59	3.02	27.04	11.37	8.25	1.41	3.6
96	16.89	1.97	2.32	1.44	17.25	4.41	8.09	2.06	11.91	17.56
97	4.13	3.97	3	15.04	2.38	5.88	5.96	7.41	1.9	2.27
98	3.63	1.27	2.56	5.3	8.6	9.31	3.4	5.54	7.79	6.65
99	15.08	1.36	2.19	1.32	5.28	6.79	16.62	2.66	2.65	12.4
100	8.62	4.76	10.07	11.49	4.83	1.65	2.05	3.72	2.28	1.07
101	9.19	1.78	13.98	2.28	23.69	6.11	4.11	19.84	29.11	3.59
102	2.62	4.02	10.25	8.78	12.95	16.72	5.3	1.4	13.25	1.28
103	2.53	31.79	1.91	2.16	8.03	10.72	5.26	3.07	2.94	4.11
104	27.59	17.7	12.19	6.57	23.97	2.1	4.05	4.16	2.47	4.06
105	7.98	2.5	8.74	5.5	19.05	2.73	9.14	12.85	1.88	23.73
106	2.19	7.46	2.87	7.36	3.97	7.19	3.28	13.93	10.59	21.82
107	1.73	24.55	1.27	10.59	2.63	23.87	28.11	5.3	6.26	32.82
108	4.91	4.66	4.21	2.11	5.74	20.01	1.2	9.59	4.63	5.13
109	27.93	1.68	1.3	29.88	4.3	1.56	14.12	18.23	4.5	10.83
110	9.85	1.55	2.65	15.63	2.62	12.53	1.79	16.93	2.33	4.11
111	26.29	0.93	2.87	2.65	1.9	19.59	10.71	11.82	1.77	14.89
112	12.46	14.12	1.27	3.77	6.08	2.08	3.64	20.67	2.62	18.8
113	4.66	3.89	1.87	2.7	15.48	1.11	1.19	1.89	7.31	1.59
114	4.35	6.8	1.65	5.63	2.75	3.18	12.78	3.01	6.7	6.06
115	1.93	18.47	23.87	12.41	5	1.44	8.98	2.39	9.38	11.13
116	0.97	17.36	12.47	6.33	3.64	27.44	9.3	6.45	3.53	24.09
117	11.41	21.23	17.75	4.93	5.54	4.28	7.56	1.19	29.6	2.53
118	1.26	1.32	8.71	15.41	1.27	10.31	15.86	21.51	0.98	15.87
119	3.36	24.64	1.57	24.8	8.18	7.16	1.69	14.72	20.41	8.38
120	8.28	7.62	5.13	1.24	1.86	2.13	18.13	25.96	1.64	11.65
121	28.08	1.12	10.89	1.36	1.47	7.26	6.41	11.75	8.35	1.5
122	5.4	2.41	18.21	3.39	31.11	5.22	5.65	3.55	18.77	2.82
123	5.18	30.81	17.62	21.19	16.14	11.28	7.1	6.69	1.45	3.03
124	1.46	21.19	1.96	2.77	19.84	8.22	2.27	3.27	22.24	6.93
125	13.15	1.95	7.81	1.34	2.71	1.49	11.2	1.19	10.58	2.25
126	5.36	14.15	4.09	12.54	1.11	9.25	2.91	1.42	7.49	2.13
127	5.83	7.45	8.78	29.19	11.32	1.21	13.94	1.51	8.61	9.14
128	2.37	2.56	4.34	1.67	15	6.11	1.76	1.54	2.61	3.46
129	2.17	10.44	18.32	6.88	2.27	3.26	8.07	3.71	2.8	19.27
130	7.02	3.29	3.31	2.85	2.98	12.82	1.4	28.84	1.44	26.92
131	7.93	1.92	3.14	3.84	3.61	7.41	19.82	1.47	2.15	22.88
132	1.18	23.99	5.58	2.08	2.09	5.09	14.65	9.34	14.12	1.06
133	1	1.12	3.44	3.36	1.08	4.2	14.13	2.97	4.09	14.99
134	8.67	29.58	2.03	1.97	20.05	2.55	5.64	18.53	14.08	2.4
135	27.01	2.87	17.63	17.51	3.65	1.85	20.52	26.74	25.17	2.88
136	7.95	9.07	6.42	19.76	0.98	1.5	9.6	17.48	15.9	2.8
137	6.87	5.78	1.34	11.31	1.37	2	20.97	9.55	11.74	11.24
138	6.06	16.19	1.32	2.61	4.57	28.04	17.01	7.25	1.13	19.43
139	24.16	1.81	7.65	4.91	4.02	12.07	14.37	1.21	24.36	1.71
140	5.11	4.38	5.67	0.94	7.32	3.54	15.66	1.36	2.06	6.43
141	11.05	1.64	6.2	6.06	4.11	3.38	10.14	1.19	8.17	9.19
