ab	ac	ad	ae	af	ag	ah	ai	aj	bc	bd	be	bf	bg	bh	bi	bj	cd	ce	cf	cg	ch	ci	cj	de	df	dg	dh	di	dj	ef	eg	eh	ei	ej	fg	fh	fi	fj	gh	gi	gj	hi	hj	ij	abc	abd	abe	abf	abg	abh	abi	abj	acd	ace	acf	acg	ach	aci	acj	ade	adf	adg	adh	adi	adj	aef	aeg	aeh	aei	aej	afg	afh	afi	afj	agh	agi	agj	ahi	ahj	aij	bcd	bce	bcf	bcg	bch	bci	bcj	bde	bdf	bdg	bdh	bdi	bdj	bef	beg	beh	bei	bej	bfg	bfh	bfi	bfj	bgh	bgi	bgj	bhi	bhj	bij	cde	cdf	cdg	cdh	cdi	cdj	cef	ceg	ceh	cei	cej	cfg	cfh	cfi	cfj	cgh	cgi	cgj	chi	chj	cij	def	deg	deh	dei	dej	dfg	dfh	dfi	dfj	dgh	dgi	dgj	dhi	dhj	dij	efg	efh	efi	efj	egh	egi	egj	ehi	ehj	eij	fgh	fgi	fgj	fhi	fhj	fij	ghi	ghj	gij	hij
1	2.415	2.275	5.445	2.415	5.84	17.45	4.01	2.5	4.25	1.9	5.07	2.04	5.465	17.075	3.635	2.125	3.875	4.93	1.9	5.325	16.935	3.495	1.985	3.735	5.07	8.495	20.105	6.665	5.155	6.905	5.465	17.075	3.635	2.125	3.875	20.5	7.06	5.55	7.3	18.67	17.16	18.91	3.72	5.47	3.96	2.19666666666667	4.31	2.29	4.57333333333333	12.3133333333333	3.35333333333333	2.34666666666667	3.51333333333333	4.21666666666667	2.19666666666667	4.48	12.22	3.26	2.25333333333333	3.42	4.31	6.59333333333333	14.3333333333333	5.37333333333333	4.36666666666667	5.53333333333333	4.57333333333333	12.3133333333333	3.35333333333333	2.34666666666667	3.51333333333333	14.5966666666667	5.63666666666667	4.63	5.79666666666667	13.3766666666667	12.37	13.5366666666667	3.41	4.57666666666667	3.57	3.96666666666667	1.94666666666667	4.23	11.97	3.01	2.00333333333333	3.17	4.06	6.34333333333333	14.0833333333333	5.12333333333333	4.11666666666667	5.28333333333333	4.32333333333333	12.0633333333333	3.10333333333333	2.09666666666667	3.26333333333333	14.3466666666667	5.38666666666667	4.38	5.54666666666667	13.1266666666667	12.12	13.2866666666667	3.16	4.32666666666667	3.32	3.96666666666667	6.25	13.99	5.03	4.02333333333333	5.19	4.23	11.97	3.01	2.00333333333333	3.17	14.2533333333333	5.29333333333333	4.28666666666667	5.45333333333333	13.0333333333333	12.0266666666667	13.1933333333333	3.06666666666667	4.23333333333333	3.22666666666667	6.34333333333333	14.0833333333333	5.12333333333333	4.11666666666667	5.28333333333333	16.3666666666667	7.40666666666667	6.4	7.56666666666667	15.1466666666667	14.14	15.3066666666667	5.18	6.34666666666667	5.34	14.3466666666667	5.38666666666667	4.38	5.54666666666667	13.1266666666667	12.12	13.2866666666667	3.16	4.32666666666667	3.32	15.41	14.4033333333333	15.57	5.44333333333333	6.61	5.60333333333333	13.1833333333333	14.35	13.3433333333333	4.38333333333333
2	6.355	10.865	2.455	7.07	14.91	4.065	2.95	2.495	3.4	13.34	4.93	9.545	17.385	6.54	5.425	4.97	5.875	9.44	14.055	21.895	11.05	9.935	9.48	10.385	5.645	13.485	2.64	1.525	1.07	1.975	18.1	7.255	6.14	5.685	6.59	15.095	13.98	13.525	14.43	3.135	2.68	3.585	1.565	2.47	2.015	10.1866666666667	4.58	7.65666666666667	12.8833333333333	5.65333333333333	4.91	4.60666666666667	5.21	7.58666666666667	10.6633333333333	15.89	8.66	7.91666666666667	7.61333333333333	8.21666666666667	5.05666666666667	10.2833333333333	3.05333333333333	2.31	2.00666666666667	2.61	13.36	6.13	5.38666666666667	5.08333333333333	5.68666666666667	11.3566666666667	10.6133333333333	10.31	10.9133333333333	3.38333333333333	3.08	3.68333333333333	2.33666666666667	2.94	2.63666666666667	9.23666666666667	12.3133333333333	17.54	10.31	9.56666666666667	9.26333333333333	9.86666666666667	6.70666666666667	11.9333333333333	4.70333333333333	3.96	3.65666666666667	4.26	15.01	7.78	7.03666666666667	6.73333333333333	7.33666666666667	13.0066666666667	12.2633333333333	11.96	12.5633333333333	5.03333333333333	4.73	5.33333333333333	3.98666666666667	4.59	4.28666666666667	9.71333333333333	14.94	7.71	6.96666666666667	6.66333333333333	7.26666666666667	18.0166666666667	10.7866666666667	10.0433333333333	9.74	10.3433333333333	16.0133333333333	15.27	14.9666666666667	15.57	8.04	7.73666666666667	8.34	6.99333333333333	7.59666666666667	7.29333333333333	12.41	5.18	4.43666666666667	4.13333333333333	4.73666666666667	10.4066666666667	9.66333333333333	9.36	9.96333333333333	2.43333333333333	2.13	2.73333333333333	1.38666666666667	1.99	1.68666666666667	13.4833333333333	12.74	12.4366666666667	13.04	5.51	5.20666666666667	5.81	4.46333333333333	5.06666666666667	4.76333333333333	10.7366666666667	10.4333333333333	11.0366666666667	9.69	10.2933333333333	9.99	2.46	3.06333333333333	2.76	2.01666666666667
3	7.995	6.055	5.61	15.83	5.4	4.99	11.37	5.14	6.425	5.66	5.215	15.435	5.005	4.595	10.975	4.745	6.03	3.275	13.495	3.065	2.655	9.035	2.805	4.09	13.05	2.62	2.21	8.59	2.36	3.645	12.84	12.43	18.81	12.58	13.865	2	8.38	2.15	3.435	7.97	1.74	3.025	8.12	9.405	3.175	6.57	6.27333333333333	13.0866666666667	6.13333333333333	5.86	10.1133333333333	5.96	6.81666666666667	4.98	11.7933333333333	4.84	4.56666666666667	8.82	4.66666666666667	5.52333333333333	11.4966666666667	4.54333333333333	4.27	8.52333333333333	4.37	5.22666666666667	11.3566666666667	11.0833333333333	15.3366666666667	11.1833333333333	12.04	4.13	8.38333333333333	4.23	5.08666666666667	8.11	3.95666666666667	4.81333333333333	8.21	9.06666666666667	4.91333333333333	4.71666666666667	11.53	4.57666666666667	4.30333333333333	8.55666666666667	4.40333333333333	5.26	11.2333333333333	4.28	4.00666666666667	8.26	4.10666666666667	4.96333333333333	11.0933333333333	10.82	15.0733333333333	10.92	11.7766666666667	3.86666666666667	8.12	3.96666666666667	4.82333333333333	7.84666666666667	3.69333333333333	4.55	7.94666666666667	8.80333333333333	4.65	9.94	2.98666666666667	2.71333333333333	6.96666666666667	2.81333333333333	3.67	9.8	9.52666666666667	13.78	9.62666666666667	10.4833333333333	2.57333333333333	6.82666666666667	2.67333333333333	3.53	6.55333333333333	2.4	3.25666666666667	6.65333333333333	7.51	3.35666666666667	9.50333333333333	9.23	13.4833333333333	9.33	10.1866666666667	2.27666666666667	6.53	2.37666666666667	3.23333333333333	6.25666666666667	2.10333333333333	2.96	6.35666666666667	7.21333333333333	3.06	9.09	13.3433333333333	9.19	10.0466666666667	13.07	8.91666666666667	9.77333333333333	13.17	14.0266666666667	9.87333333333333	6.11666666666667	1.96333333333333	2.82	6.21666666666667	7.07333333333333	2.92	5.94333333333333	6.8	2.64666666666667	6.9
4	11.45	12.07	11.87	11.845	12.665	11.155	14.87	11.615	15.56	2.4	2.2	2.175	2.995	1.485	5.2	1.945	5.89	2.82	2.795	3.615	2.105	5.82	2.565	6.51	2.595	3.415	1.905	5.62	2.365	6.31	3.39	1.88	5.595	2.34	6.285	2.7	6.415	3.16	7.105	4.905	1.65	5.595	5.365	9.31	6.055	8.64	8.50666666666667	8.49	9.03666666666667	8.03	10.5066666666667	8.33666666666667	10.9666666666667	8.92	8.90333333333333	9.45	8.44333333333333	10.92	8.75	11.38	8.77	9.31666666666667	8.31	10.7866666666667	8.61666666666667	11.2466666666667	9.3	8.29333333333333	10.77	8.6	11.23	8.84	11.3166666666667	9.14666666666667	11.7766666666667	10.31	8.14	10.77	10.6166666666667	13.2466666666667	11.0766666666667	2.47333333333333	2.45666666666667	3.00333333333333	1.99666666666667	4.47333333333333	2.30333333333333	4.93333333333333	2.32333333333333	2.87	1.86333333333333	4.34	2.17	4.8	2.85333333333333	1.84666666666667	4.32333333333333	2.15333333333333	4.78333333333333	2.39333333333333	4.87	2.7	5.33	3.86333333333333	1.69333333333333	4.32333333333333	4.17	6.8	4.63	2.73666666666667	3.28333333333333	2.27666666666667	4.75333333333333	2.58333333333333	5.21333333333333	3.26666666666667	2.26	4.73666666666667	2.56666666666667	5.19666666666667	2.80666666666667	5.28333333333333	3.11333333333333	5.74333333333333	4.27666666666667	2.10666666666667	4.73666666666667	4.58333333333333	7.21333333333333	5.04333333333333	3.13333333333333	2.12666666666667	4.60333333333333	2.43333333333333	5.06333333333333	2.67333333333333	5.15	2.98	5.61	4.14333333333333	1.97333333333333	4.60333333333333	4.45	7.08	4.91	2.65666666666667	5.13333333333333	2.96333333333333	5.59333333333333	4.12666666666667	1.95666666666667	4.58666666666667	4.43333333333333	7.06333333333333	4.89333333333333	4.67333333333333	2.50333333333333	5.13333333333333	4.98	7.61	5.44	3.97333333333333	6.60333333333333	4.43333333333333	6.91
5	14.235	4.455	9.32	1.63	8.86	2.075	2.405	3.31	1.655	16.78	21.645	13.955	21.185	14.4	14.73	15.635	13.98	11.865	4.175	11.405	4.62	4.95	5.855	4.2	9.04	16.27	9.485	9.815	10.72	9.065	8.58	1.795	2.125	3.03	1.375	9.025	9.355	10.26	8.605	2.57	3.475	1.82	3.805	2.15	3.055	11.8233333333333	15.0666666666667	9.94	14.76	10.2366666666667	10.4566666666667	11.06	9.95666666666667	8.54666666666667	3.42	8.24	3.71666666666667	3.93666666666667	4.54	3.43666666666667	6.66333333333333	11.4833333333333	6.96	7.18	7.78333333333333	6.68	6.35666666666667	1.83333333333333	2.05333333333333	2.65666666666667	1.55333333333333	6.65333333333333	6.87333333333333	7.47666666666667	6.37333333333333	2.35	2.95333333333333	1.85	3.17333333333333	2.07	2.67333333333333	16.7633333333333	11.6366666666667	16.4566666666667	11.9333333333333	12.1533333333333	12.7566666666667	11.6533333333333	14.88	19.7	15.1766666666667	15.3966666666667	16	14.8966666666667	14.5733333333333	10.05	10.27	10.8733333333333	9.77	14.87	15.09	15.6933333333333	14.59	10.5666666666667	11.17	10.0666666666667	11.39	10.2866666666667	10.89	8.36	13.18	8.65666666666667	8.87666666666667	9.48	8.37666666666667	8.05333333333333	3.53	3.75	4.35333333333333	3.25	8.35	8.57	9.17333333333333	8.07	4.04666666666667	4.65	3.54666666666667	4.87	3.76666666666667	4.37	11.2966666666667	6.77333333333333	6.99333333333333	7.59666666666667	6.49333333333333	11.5933333333333	11.8133333333333	12.4166666666667	11.3133333333333	7.29	7.89333333333333	6.79	8.11333333333333	7.01	7.61333333333333	6.46666666666667	6.68666666666667	7.29	6.18666666666667	2.16333333333333	2.76666666666667	1.66333333333333	2.98666666666667	1.88333333333333	2.48666666666667	6.98333333333333	7.58666666666667	6.48333333333333	7.80666666666667	6.70333333333333	7.30666666666667	3.28333333333333	2.18	2.78333333333333	3.00333333333333
6	24.055	14.6	11.865	16.57	24.8	18.765	16.865	11.46	12.015	17.105	14.37	19.075	27.305	21.27	19.37	13.965	14.52	4.915	9.62	17.85	11.815	9.915	4.51	5.065	6.885	15.115	9.08	7.18	1.775	2.33	19.82	13.785	11.885	6.48	7.035	22.015	20.115	14.71	15.265	14.08	8.675	9.23	6.775	7.33	1.925	18.5866666666667	16.7633333333333	19.9	25.3866666666667	21.3633333333333	20.0966666666667	16.4933333333333	16.8633333333333	10.46	13.5966666666667	19.0833333333333	15.06	13.7933333333333	10.19	10.56	11.7733333333333	17.26	13.2366666666667	11.97	8.36666666666667	8.73666666666667	20.3966666666667	16.3733333333333	15.1066666666667	11.5033333333333	11.8733333333333	21.86	20.5933333333333	16.99	17.36	16.57	12.9666666666667	13.3366666666667	11.7	12.07	8.46666666666667	12.13	15.2666666666667	20.7533333333333	16.73	15.4633333333333	11.86	12.23	13.4433333333333	18.93	14.9066666666667	13.64	10.0366666666667	10.4066666666667	22.0666666666667	18.0433333333333	16.7766666666667	13.1733333333333	13.5433333333333	23.53	22.2633333333333	18.66	19.03	18.24	14.6366666666667	15.0066666666667	13.37	13.74	10.1366666666667	7.14	12.6266666666667	8.60333333333333	7.33666666666667	3.73333333333333	4.10333333333333	15.7633333333333	11.74	10.4733333333333	6.87	7.24	17.2266666666667	15.96	12.3566666666667	12.7266666666667	11.9366666666667	8.33333333333333	8.70333333333333	7.06666666666667	7.43666666666667	3.83333333333333	13.94	9.91666666666667	8.65	5.04666666666667	5.41666666666667	15.4033333333333	14.1366666666667	10.5333333333333	10.9033333333333	10.1133333333333	6.51	6.88	5.24333333333333	5.61333333333333	2.01	18.54	17.2733333333333	13.67	14.04	13.25	9.64666666666667	10.0166666666667	8.38	8.75	5.14666666666667	18.7366666666667	15.1333333333333	15.5033333333333	13.8666666666667	14.2366666666667	10.6333333333333	9.84333333333333	10.2133333333333	6.61	5.34333333333333
7	15.585	15.845	20.915	17.905	28.59	16.5	16.26	16.7	16.225	1.65	6.72	3.71	14.395	2.305	2.065	2.505	2.03	6.98	3.97	14.655	2.565	2.325	2.765	2.29	9.04	19.725	7.635	7.395	7.835	7.36	16.715	4.625	4.385	4.825	4.35	15.31	15.07	15.51	15.035	2.98	3.42	2.945	3.18	2.705	3.145	11.0266666666667	14.4066666666667	12.4	19.5233333333333	11.4633333333333	11.3033333333333	11.5966666666667	11.28	14.58	12.5733333333333	19.6966666666667	11.6366666666667	11.4766666666667	11.77	11.4533333333333	15.9533333333333	23.0766666666667	15.0166666666667	14.8566666666667	15.15	14.8333333333333	21.07	13.01	12.85	13.1433333333333	12.8266666666667	20.1333333333333	19.9733333333333	20.2666666666667	19.95	11.9133333333333	12.2066666666667	11.89	12.0466666666667	11.73	12.0233333333333	5.11666666666667	3.11	10.2333333333333	2.17333333333333	2.01333333333333	2.30666666666667	1.99	6.49	13.6133333333333	5.55333333333333	5.39333333333333	5.68666666666667	5.37	11.6066666666667	3.54666666666667	3.38666666666667	3.68	3.36333333333333	10.67	10.51	10.8033333333333	10.4866666666667	2.45	2.74333333333333	2.42666666666667	2.58333333333333	2.26666666666667	2.56	6.66333333333333	13.7866666666667	5.72666666666667	5.56666666666667	5.86	5.54333333333333	11.78	3.72	3.56	3.85333333333333	3.53666666666667	10.8433333333333	10.6833333333333	10.9766666666667	10.66	2.62333333333333	2.91666666666667	2.6	2.75666666666667	2.44	2.73333333333333	15.16	7.1	6.94	7.23333333333333	6.91666666666667	14.2233333333333	14.0633333333333	14.3566666666667	14.04	6.00333333333333	6.29666666666667	5.98	6.13666666666667	5.82	6.11333333333333	12.2166666666667	12.0566666666667	12.35	12.0333333333333	3.99666666666667	4.29	3.97333333333333	4.13	3.81333333333333	4.10666666666667	11.12	11.4133333333333	11.0966666666667	11.2533333333333	10.9366666666667	11.23	3.19333333333333	2.87666666666667	3.17	3.01
8	13.46	6.265	17.045	13.115	11.57	18.495	18.27	6.815	5.98	10.065	20.845	16.915	15.37	22.295	22.07	10.615	9.78	13.65	9.72	8.175	15.1	14.875	3.42	2.585	20.5	18.955	25.88	25.655	14.2	13.365	15.025	21.95	21.725	10.27	9.435	20.405	20.18	8.725	7.89	27.105	15.65	14.815	15.425	14.59	3.135	9.93	17.1166666666667	14.4966666666667	13.4666666666667	18.0833333333333	17.9333333333333	10.2966666666667	9.74	12.32	9.7	8.67	13.2866666666667	13.1366666666667	5.5	4.94333333333333	16.8866666666667	15.8566666666667	20.4733333333333	20.3233333333333	12.6866666666667	12.13	13.2366666666667	17.8533333333333	17.7033333333333	10.0666666666667	9.51	16.8233333333333	16.6733333333333	9.03666666666667	8.48	21.29	13.6533333333333	13.0966666666667	13.5033333333333	12.9466666666667	5.31	14.8533333333333	12.2333333333333	11.2033333333333	15.82	15.67	8.03333333333333	7.47666666666667	19.42	18.39	23.0066666666667	22.8566666666667	15.22	14.6633333333333	15.77	20.3866666666667	20.2366666666667	12.6	12.0433333333333	19.3566666666667	19.2066666666667	11.57	11.0133333333333	23.8233333333333	16.1866666666667	15.63	16.0366666666667	15.48	7.84333333333333	14.6233333333333	13.5933333333333	18.21	18.06	10.4233333333333	9.86666666666667	10.9733333333333	15.59	15.44	7.80333333333333	7.24666666666667	14.56	14.41	6.77333333333333	6.21666666666667	19.0266666666667	11.39	10.8333333333333	11.24	10.6833333333333	3.04666666666667	18.16	22.7766666666667	22.6266666666667	14.99	14.4333333333333	21.7466666666667	21.5966666666667	13.96	13.4033333333333	26.2133333333333	18.5766666666667	18.02	18.4266666666667	17.87	10.2333333333333	19.1266666666667	18.9766666666667	11.34	10.7833333333333	23.5933333333333	15.9566666666667	15.4	15.8066666666667	15.25	7.61333333333333	22.5633333333333	14.9266666666667	14.37	14.7766666666667	14.22	6.58333333333333	19.3933333333333	18.8366666666667	11.2	11.05
9	6.105	7.62	16.79	17.045	6.245	4.485	10.675	8.69	7.935	6.625	15.795	16.05	5.25	3.49	9.68	7.695	6.94	17.31	17.565	6.765	5.005	11.195	9.21	8.455	26.735	15.935	14.175	20.365	18.38	17.625	16.19	14.43	20.62	18.635	17.88	3.63	9.82	7.835	7.08	8.06	6.075	5.32	12.265	11.51	9.525	6.78333333333333	12.8966666666667	13.0666666666667	5.86666666666667	4.69333333333333	8.82	7.49666666666667	6.99333333333333	13.9066666666667	14.0766666666667	6.87666666666667	5.70333333333333	9.83	8.50666666666667	8.00333333333333	20.19	12.99	11.8166666666667	15.9433333333333	14.62	14.1166666666667	13.16	11.9866666666667	16.1133333333333	14.79	14.2866666666667	4.78666666666667	8.91333333333333	7.59	7.08666666666667	7.74	6.41666666666667	5.91333333333333	10.5433333333333	10.04	8.71666666666667	13.2433333333333	13.4133333333333	6.21333333333333	5.04	9.16666666666667	7.84333333333333	7.34	19.5266666666667	12.3266666666667	11.1533333333333	15.28	13.9566666666667	13.4533333333333	12.4966666666667	11.3233333333333	15.45	14.1266666666667	13.6233333333333	4.12333333333333	8.25	6.92666666666667	6.42333333333333	7.07666666666667	5.75333333333333	5.25	9.88	9.37666666666667	8.05333333333333	20.5366666666667	13.3366666666667	12.1633333333333	16.29	14.9666666666667	14.4633333333333	13.5066666666667	12.3333333333333	16.46	15.1366666666667	14.6333333333333	5.13333333333333	9.26	7.93666666666667	7.43333333333333	8.08666666666667	6.76333333333333	6.26	10.89	10.3866666666667	9.06333333333333	19.62	18.4466666666667	22.5733333333333	21.25	20.7466666666667	11.2466666666667	15.3733333333333	14.05	13.5466666666667	14.2	12.8766666666667	12.3733333333333	17.0033333333333	16.5	15.1766666666667	11.4166666666667	15.5433333333333	14.22	13.7166666666667	14.37	13.0466666666667	12.5433333333333	17.1733333333333	16.67	15.3466666666667	7.17	5.84666666666667	5.34333333333333	9.97333333333333	9.47	8.14666666666667	8.8	8.29666666666667	6.97333333333333	11.1
10	3.655	5.195	1.23	1.21	1.22	3.06	4.945	15.255	2.88	7.68	3.715	3.695	3.705	5.545	7.43	17.74	5.365	5.255	5.235	5.245	7.085	8.97	19.28	6.905	1.27	1.28	3.12	5.005	15.315	2.94	1.26	3.1	4.985	15.295	2.92	3.11	4.995	15.305	2.93	6.835	17.145	4.77	19.03	6.655	16.965	5.51	2.86666666666667	2.85333333333333	2.86	4.08666666666667	5.34333333333333	12.2166666666667	3.96666666666667	3.89333333333333	3.88	3.88666666666667	5.11333333333333	6.37	13.2433333333333	4.99333333333333	1.23666666666667	1.24333333333333	2.47	3.72666666666667	10.6	2.35	1.23	2.45666666666667	3.71333333333333	10.5866666666667	2.33666666666667	2.46333333333333	3.72	10.5933333333333	2.34333333333333	4.94666666666667	11.82	3.57	13.0766666666667	4.82666666666667	11.7	5.55	5.53666666666667	5.54333333333333	6.77	8.02666666666667	14.9	6.65	2.89333333333333	2.9	4.12666666666667	5.38333333333333	12.2566666666667	4.00666666666667	2.88666666666667	4.11333333333333	5.37	12.2433333333333	3.99333333333333	4.12	5.37666666666667	12.25	4	6.60333333333333	13.4766666666667	5.22666666666667	14.7333333333333	6.48333333333333	13.3566666666667	3.92	3.92666666666667	5.15333333333333	6.41	13.2833333333333	5.03333333333333	3.91333333333333	5.14	6.39666666666667	13.27	5.02	5.14666666666667	6.40333333333333	13.2766666666667	5.02666666666667	7.63	14.5033333333333	6.25333333333333	15.76	7.51	14.3833333333333	1.27	2.49666666666667	3.75333333333333	10.6266666666667	2.37666666666667	2.50333333333333	3.76	10.6333333333333	2.38333333333333	4.98666666666667	11.86	3.61	13.1166666666667	4.86666666666667	11.74	2.49	3.74666666666667	10.62	2.37	4.97333333333333	11.8466666666667	3.59666666666667	13.1033333333333	4.85333333333333	11.7266666666667	4.98	11.8533333333333	3.60333333333333	13.11	4.86	11.7333333333333	14.3366666666667	6.08666666666667	12.96	14.2166666666667
