	fopt	sample	xopt
0	4.67356257779	ab	{'a': 0.9267835372899933, 'c': 0.0, 'b': 0.9277481760948222, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	18.3562053655	ac	{'a': 0.8282741705129694, 'c': 0.8256671250903647, 'b': 0.0, 'e': 0.0, 'd': 0.0012989536898872637, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	7.48841208508	ad	{'a': 0.9071792408076589, 'c': 0.0, 'b': 0.0005063722729634012, 'e': 0.0, 'd': 0.905938485330602, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	6.43041175863e-13	ae	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	377.889214627	af	{'a': 1.0, 'c': 0.03605100391836192, 'b': 0.005573273966840174, 'e': 0.0018558310941939014, 'd': 0.0, 'g': 0.0038211393234160035, 'f': 0.9930399817576226, 'i': 0.011376829852404458, 'h': 0.0, 'j': 0.006699966581489789}
0	0.221606052128	ag	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.9999503682499186, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	6.46704911844e-13	ah	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	4.53648945753	ai	{'a': 0.9156351808692045, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.9165860049439802, 'h': 0.0, 'j': 0.0}
0	142.588271442	aj	{'a': 1.0, 'c': 0.0, 'b': 0.005218231266412021, 'e': 0.0, 'd': 0.004243133925801085, 'g': 0.0, 'f': 0.0, 'i': 0.013889222190584243, 'h': 0.0, 'j': 1.0}
0	6.10622663544e-13	bc	{'a': 0.0, 'c': 1.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	5.94302385082e-13	bd	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	6.17506046297e-13	be	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	5.99666538405	bf	{'a': 0.0, 'c': 0.0, 'b': 0.8724870238234506, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.8736311379079645, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	6.13731288013e-13	bg	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	5.9285909515e-13	bh	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	5.80646641879e-13	bi	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 0.0}
0	6.02851102371e-13	bj	{'a': 0.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	5.40234523783e-13	cd	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	6.8167693712e-13	ce	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	5.80868686484e-13	cf	{'a': 0.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
